scope,feature,component,loading,region,tenor_years,abs_loading
EA,EA_5Y,PC2,-0.38385904699519596,EA,5,0.38385904699519596
EA,EA_10Y,PC2,-0.0022948755354725817,EA,10,0.0022948755354725817
EA,EA_20Y,PC2,0.4080645525498074,EA,20,0.4080645525498074
EA,EA_30Y,PC2,0.5551910580425926,EA,30,0.5551910580425926
EA,EA_2Y,PC3,-0.5728351316974925,EA,2,0.5728351316974925
EA,EA_5Y,PC3,0.2590002260225654,EA,5,0.2590002260225654
EA,EA_10Y,PC3,0.5843836586195046,EA,10,0.5843836586195046
EA,EA_20Y,PC3,0.07464742624290364,EA,20,0.07464742624290364
EA,EA_30Y,PC3,-0.5076438673983662,EA,30,0.5076438673983662
EA,EA_2Y,PC4,0.3505025408484413,EA,2,0.3505025408484413
EA,EA_5Y,PC4,-0.6301301581593646,EA,5,0.6301301581593646
EA,EA_10Y,PC4,0.18828518729359506,EA,10,0.18828518729359506
EA,EA_20Y,PC4,0.5140957123490981,EA,20,0.5140957123490981
EA,EA_30Y,PC4,-0.4246625006130521,EA,30,0.4246625006130521
EA,EA_2Y,PC5,0.12166893833014215,EA,2,0.12166893833014215
EA,EA_5Y,PC5,-0.41524908835423624,EA,5,0.41524908835423624
EA,EA_10Y,PC5,0.6231856282013001,EA,10,0.6231856282013001
EA,EA_20Y,PC5,-0.5873261154674436,EA,20,0.5873261154674436
EA,EA_30Y,PC5,0.28187332431407325,EA,30,0.28187332431407325
JP,JP_2Y,PC1,0.3852511507878446,JP,2,0.3852511507878446
JP,JP_5Y,PC1,0.468852326972069,JP,5,0.468852326972069
JP,JP_10Y,PC1,0.4920138609342643,JP,10,0.4920138609342643
JP,JP_20Y,PC1,0.4655835776365046,JP,20,0.4655835776365046
JP,JP_30Y,PC1,0.4158284973318558,JP,30,0.4158284973318558
JP,JP_2Y,PC2,-0.5955777281243132,JP,2,0.5955777281243132
JP,JP_5Y,PC2,-0.3865046300233054,JP,5,0.3865046300233054
JP,JP_10Y,PC2,-0.04122085373012828,JP,10,0.04122085373012828
JP,JP_20Y,PC2,0.4264302748538373,JP,20,0.4264302748538373
JP,JP_30Y,PC2,0.5588912261242522,JP,30,0.5588912261242522
JP,JP_2Y,PC3,-0.5989024447096454,JP,2,0.5989024447096454
JP,JP_5Y,PC3,0.21068060301971225,JP,5,0.21068060301971225
JP,JP_10Y,PC3,0.670176224190792,JP,10,0.670176224190792
JP,JP_20Y,PC3,-0.09127612908055575,JP,20,0.09127612908055575
JP,JP_30Y,PC3,-0.37344617017918885,JP,30,0.37344617017918885
JP,JP_2Y,PC4,0.3717285933599312,JP,2,0.3717285933599312
JP,JP_5Y,PC4,-0.7656753647925618,JP,5,0.7656753647925618
JP,JP_10Y,PC4,0.5028063762665913,JP,10,0.5028063762665913
JP,JP_20Y,PC4,0.05686605037166493,JP,20,0.05686605037166493
JP,JP_30Y,PC4,-0.13968209953036276,JP,30,0.13968209953036276
JP,JP_2Y,PC5,-0.0015605058091293317,JP,2,0.0015605058091293317
JP,JP_5Y,PC5,0.012107259163485672,JP,5,0.012107259163485672
JP,JP_10Y,PC5,-0.23296518705881814,JP,10,0.23296518705881814
JP,JP_20Y,PC5,0.7680000478505654,JP,20,0.7680000478505654
JP,JP_30Y,PC5,-0.5964512781588678,JP,30,0.5964512781588678
Global,US_2Y,PC1,0.25648507655270225,US,2,0.25648507655270225
Global,US_5Y,PC1,0.30076971291411025,US,5,0.30076971291411025
Global,US_10Y,PC1,0.3135619452044442,US,10,0.3135619452044442
Global,US_20Y,PC1,0.3015722492311528,US,20,0.3015722492311528
Global,US_30Y,PC1,0.2953494870553265,US,30,0.2953494870553265
Global,EA_2Y,PC1,0.2066142984648681,EA,2,0.2066142984648681
Global,EA_5Y,PC1,0.26907327031288797,EA,5,0.26907327031288797
Global,EA_10Y,PC1,0.2869720250248087,EA,10,0.2869720250248087
Global,EA_20Y,PC1,0.2700926878697015,EA,20,0.2700926878697015
Global,EA_30Y,PC1,0.23596024504770224,EA,30,0.23596024504770224
Global,JP_2Y,PC1,0.16539467581840764,JP,2,0.16539467581840764
Global,JP_5Y,PC1,0.2245634361630206,JP,5,0.2245634361630206
Global,JP_10Y,PC1,0.25485984971546255,JP,10,0.25485984971546255
Global,JP_20Y,PC1,0.2378031815753603,JP,20,0.2378031815753603
Global,JP_30Y,PC1,0.2046865541174579,JP,30,0.2046865541174579
Global,US_2Y,PC2,-0.06486384669384414,US,2,0.06486384669384414
Global,US_5Y,PC2,-0.07450930652625534,US,5,0.07450930652625534
Global,US_10Y,PC2,-0.06062977575532725,US,10,0.06062977575532725
Global,US_20Y,PC2,-0.05016119413261521,US,20,0.05016119413261521
Global,US_30Y,PC2,-0.03688811554446235,US,30,0.03688811554446235
Global,EA_2Y,PC2,-0.23696929403609265,EA,2,0.23696929403609265
Global,EA_5Y,PC2,-0.2570413884476889,EA,5,0.2570413884476889
Global,EA_10Y,PC2,-0.26185195451105503,EA,10,0.26185195451105503
Global,EA_20Y,PC2,-0.2543113859761864,EA,20,0.2543113859761864
Global,EA_30Y,PC2,-0.22914476223247307,EA,30,0.22914476223247307
Global,JP_2Y,PC2,0.3607452765786123,JP,2,0.3607452765786123
Global,JP_5Y,PC2,0.39796524930046817,JP,5,0.39796524930046817
Global,JP_10Y,PC2,0.38160604216527333,JP,10,0.38160604216527333
Global,JP_20Y,PC2,0.3611322554627223,JP,20,0.3611322554627223
Global,JP_30Y,PC2,0.3319069960311714,JP,30,0.3319069960311714
Global,US_2Y,PC3,0.2520935221520403,US,2,0.2520935221520403
Global,US_5Y,PC3,0.3300214543112079,US,5,0.3300214543112079
Global,US_10Y,PC3,0.3527101430176519,US,10,0.3527101430176519
Global,US_20Y,PC3,0.35657107377913483,US,20,0.35657107377913483
